objectPath,objectName,objectType,id
/Explore/Data _Integration/MDS_CM_ReasonCodes_To_Snowflake,mt_V_SL_CODE_TYPES,MTT,goohRypj52WhVWEt7YRz4a
/Explore/Data _Integration/MDS_CM_ReasonCodes_To_Snowflake,m_V_SL_CODE_TYPES,DTEMPLATE,5XgN3ZsYRYjkOCsBuoEfcb
/SYS,DT_US_Secure_Agent,AgentGroup,a7nrLxYyyu5es6Ljmi9Jah
/Explore/Data _Integration/MDS_CM_ReasonCodes_To_Snowflake,mt_V_SL_CAR_CODES_STANDARD,MTT,8ESTgdxpPgibHHm7PTfvSH
/SYS,US_SQL_SERVER_MDS,Connection,i1ZklYrqQ60dtODSlhhN2m
/Explore/Data _Integration/MDS_CM_ReasonCodes_To_Snowflake,m_V_SL_HOTEL_CODES_STANDARD,DTEMPLATE,k9fLTr8BTsrg1a8674yeAm
/SYS,CAN_Snowflake,Connection,j2B9tD0yTQ5b2YQHzpVvW8
/SYS,US_Snowflake,Connection,07fJJzT4TXkkU4qr4X91kg
/Explore/Data _Integration/MDS_CM_ReasonCodes_To_Snowflake,mt_V_SL_HOTEL_CODES_CLIENT_SPECIFIC,MTT,6Xp9OVwxtZJdlvtzmhTc2y
/Explore/Data _Integration/MDS_CM_ReasonCodes_To_Snowflake,m_V_SL_AIR_CODES_STANDARD,DTEMPLATE,82xu1z1Y4U9iiMd3VtHJSf
/Explore/Data _Integration/MDS_CM_ReasonCodes_To_Snowflake,m_V_SL_HOTEL_CODES_CLIENT_SPECIFIC,DTEMPLATE,6za9qTgopVnhkpAkpy3Gci
/Explore/Data _Integration/MDS_CM_ReasonCodes_To_Snowflake,mt_V_SL_CAR_CODES_CLIENT_SPECIFIC,MTT,75Eqaxt83w8f8KgFsPdsOE
/Explore/Data _Integration/MDS_CM_ReasonCodes_To_Snowflake,mt_V_SL_AIR_CODES_STANDARD,MTT,at71BWiV8agdmV6F7xZi6a
/Explore/Data _Integration/MDS_CM_ReasonCodes_To_Snowflake,mt_V_SL_AIR_CODES_CLIENT_SPECIFIC,MTT,38igOBvjhXXgCyw0AjZwYn
/Explore/Data _Integration/MDS_CM_ReasonCodes_To_Snowflake,mt_V_SL_HOTEL_CODES_STANDARD,MTT,2DdPP7FKOVsirg8e5MIcEq
/Explore/Data _Integration,MDS_CM_ReasonCodes_To_Snowflake,Folder,34c1yKgI16kgiNsrG4mxA3
/Explore/Data _Integration/MDS_CM_ReasonCodes_To_Snowflake,m_V_SL_CAR_CODES_STANDARD,DTEMPLATE,auSh13BU5gug59jwNpqy2h
/Explore/Data _Integration/MDS_CM_ReasonCodes_To_Snowflake,m_V_SL_AIR_CODES_CLIENT_SPECIFIC,DTEMPLATE,6qdy6nzlrjIgETuDyVOg6M
/Explore/Data _Integration/MDS_CM_ReasonCodes_To_Snowflake,tf_RAW_ReasonCode,TASKFLOW,2D6OdZF9KRvi1VlxP8RPMD
/Explore/Data _Integration/MDS_CM_ReasonCodes_To_Snowflake,m_V_SL_CAR_CODES_CLIENT_SPECIFIC,DTEMPLATE,87WknuxyVx9hZ6m2F9RUm4
/Explore,Data _Integration,Project,4HIbFLcoxkmd22lx6KbzoX